name,category,variantName,sku,costPrice,sellingPrice,stockQuantity
Kecap Manis 5,Kopi & Teh,600ml,SKU-00096,14000,18000,682
Saus Sambal 5,Bumbu Dapur,335ml,SKU-00097,10000,14000,689
Tepung Terigu 5,Makanan Kaleng,1kg,SKU-00098,12000,15000,696
Telur Ayam 5,Perawatan Diri,1kg,SKU-00099,27000,32000,703
Tisu Wajah 5,Kebersihan,200 sheets,SKU-00100,9000,13000,710
Indomie Goreng 6,Mie Instan,85g,SKU-00101,2500,3500,717
Indomie Soto 6,Minuman,75g,SKU-00102,2500,3500,724
Aqua 6,Snack,600ml,SKU-00103,2500,4000,731
Teh Botol Sosro 6,Sembako,450ml,SKU-00104,3500,5000,738
Kopi Kapal Api 6,Susu,65g,SKU-00105,7000,9500,745
Beras Premium 6,Kopi & Teh,5kg,SKU-00106,65000,75000,752
Gula Pasir 6,Bumbu Dapur,1kg,SKU-00107,14500,17000,759
Minyak Goreng 6,Makanan Kaleng,1L,SKU-00108,17000,20000,766
Susu UHT 6,Perawatan Diri,1L,SKU-00109,18000,22000,773
Sabun Mandi 6,Kebersihan,100g,SKU-00110,3500,5000,780
Shampoo 6,Mie Instan,170ml,SKU-00111,18000,23000,787
Pasta Gigi 6,Minuman,120g,SKU-00112,11000,15000,794
Biskuit 6,Snack,120g,SKU-00113,6500,9000,801
Keripik Kentang 6,Sembako,68g,SKU-00114,9000,12000,808
Sarden Kaleng 6,Susu,155g,SKU-00115,12000,16000,815
Kecap Manis 6,Kopi & Teh,600ml,SKU-00116,14000,18000,822
Saus Sambal 6,Bumbu Dapur,335ml,SKU-00117,10000,14000,829
Tepung Terigu 6,Makanan Kaleng,1kg,SKU-00118,12000,15000,836
Telur Ayam 6,Perawatan Diri,1kg,SKU-00119,27000,32000,843
Tisu Wajah 6,Kebersihan,200 sheets,SKU-00120,9000,13000,850
Indomie Goreng 7,Mie Instan,85g,SKU-00121,2500,3500,857
Indomie Soto 7,Minuman,75g,SKU-00122,2500,3500,864
Aqua 7,Snack,600ml,SKU-00123,2500,4000,871
Teh Botol Sosro 7,Sembako,450ml,SKU-00124,3500,5000,878
Kopi Kapal Api 7,Susu,65g,SKU-00125,7000,9500,885
Beras Premium 7,Kopi & Teh,5kg,SKU-00126,65000,75000,892
Gula Pasir 7,Bumbu Dapur,1kg,SKU-00127,14500,17000,899
Minyak Goreng 7,Makanan Kaleng,1L,SKU-00128,17000,20000,906
Susu UHT 7,Perawatan Diri,1L,SKU-00129,18000,22000,913
Sabun Mandi 7,Kebersihan,100g,SKU-00130,3500,5000,920
Shampoo 7,Mie Instan,170ml,SKU-00131,18000,23000,927
Pasta Gigi 7,Minuman,120g,SKU-00132,11000,15000,934
Biskuit 7,Snack,120g,SKU-00133,6500,9000,941
Keripik Kentang 7,Sembako,68g,SKU-00134,9000,12000,948
Sarden Kaleng 7,Susu,155g,SKU-00135,12000,16000,955
Kecap Manis 7,Kopi & Teh,600ml,SKU-00136,14000,18000,962
Saus Sambal 7,Bumbu Dapur,335ml,SKU-00137,10000,14000,969
Tepung Terigu 7,Makanan Kaleng,1kg,SKU-00138,12000,15000,976
Telur Ayam 7,Perawatan Diri,1kg,SKU-00139,27000,32000,983
Tisu Wajah 7,Kebersihan,200 sheets,SKU-00140,9000,13000,990
Indomie Goreng 8,Mie Instan,85g,SKU-00141,2500,3500,997
Indomie Soto 8,Minuman,75g,SKU-00142,2500,3500,1004
Aqua 8,Snack,600ml,SKU-00143,2500,4000,1011
Teh Botol Sosro 8,Sembako,450ml,SKU-00144,3500,5000,1018
Kopi Kapal Api 8,Susu,65g,SKU-00145,7000,9500,1025
Beras Premium 8,Kopi & Teh,5kg,SKU-00146,65000,75000,1032
Gula Pasir 8,Bumbu Dapur,1kg,SKU-00147,14500,17000,1039
Minyak Goreng 8,Makanan Kaleng,1L,SKU-00148,17000,20000,1046
Susu UHT 8,Perawatan Diri,1L,SKU-00149,18000,22000,1053
Sabun Mandi 8,Kebersihan,100g,SKU-00150,3500,5000,1060
Shampoo 8,Mie Instan,170ml,SKU-00151,18000,23000,1067
Pasta Gigi 8,Minuman,120g,SKU-00152,11000,15000,1074
Biskuit 8,Snack,120g,SKU-00153,6500,9000,1081
Keripik Kentang 8,Sembako,68g,SKU-00154,9000,12000,1088
Sarden Kaleng 8,Susu,155g,SKU-00155,12000,16000,1095
Kecap Manis 8,Kopi & Teh,600ml,SKU-00156,14000,18000,1102
Saus Sambal 8,Bumbu Dapur,335ml,SKU-00157,10000,14000,1109
Tepung Terigu 8,Makanan Kaleng,1kg,SKU-00158,12000,15000,1116
Telur Ayam 8,Perawatan Diri,1kg,SKU-00159,27000,32000,1123
Tisu Wajah 8,Kebersihan,200 sheets,SKU-00160,9000,13000,1130
Indomie Goreng 9,Mie Instan,85g,SKU-00161,2500,3500,1137
Indomie Soto 9,Minuman,75g,SKU-00162,2500,3500,1144
Aqua 9,Snack,600ml,SKU-00163,2500,4000,1151
Teh Botol Sosro 9,Sembako,450ml,SKU-00164,3500,5000,1158
Kopi Kapal Api 9,Susu,65g,SKU-00165,7000,9500,1165
Beras Premium 9,Kopi & Teh,5kg,SKU-00166,65000,75000,1172
Gula Pasir 9,Bumbu Dapur,1kg,SKU-00167,14500,17000,1179
Minyak Goreng 9,Makanan Kaleng,1L,SKU-00168,17000,20000,1186
Susu UHT 9,Perawatan Diri,1L,SKU-00169,18000,22000,1193
Sabun Mandi 9,Kebersihan,100g,SKU-00170,3500,5000,1200
Shampoo 9,Mie Instan,170ml,SKU-00171,18000,23000,1207
Pasta Gigi 9,Minuman,120g,SKU-00172,11000,15000,1214
Biskuit 9,Snack,120g,SKU-00173,6500,9000,1221
Keripik Kentang 9,Sembako,68g,SKU-00174,9000,12000,1228
Sarden Kaleng 9,Susu,155g,SKU-00175,12000,16000,1235
Kecap Manis 9,Kopi & Teh,600ml,SKU-00176,14000,18000,1242
Saus Sambal 9,Bumbu Dapur,335ml,SKU-00177,10000,14000,1249
Tepung Terigu 9,Makanan Kaleng,1kg,SKU-00178,12000,15000,1256
Telur Ayam 9,Perawatan Diri,1kg,SKU-00179,27000,32000,1263
Tisu Wajah 9,Kebersihan,200 sheets,SKU-00180,9000,13000,1270
Indomie Goreng 10,Mie Instan,85g,SKU-00181,2500,3500,1277
Indomie Soto 10,Minuman,75g,SKU-00182,2500,3500,1284
Aqua 10,Snack,600ml,SKU-00183,2500,4000,1291
Teh Botol Sosro 10,Sembako,450ml,SKU-00184,3500,5000,1298
Kopi Kapal Api 10,Susu,65g,SKU-00185,7000,9500,1305
Beras Premium 10,Kopi & Teh,5kg,SKU-00186,65000,75000,1312
Gula Pasir 10,Bumbu Dapur,1kg,SKU-00187,14500,17000,1319
Minyak Goreng 10,Makanan Kaleng,1L,SKU-00188,17000,20000,1326
Susu UHT 10,Perawatan Diri,1L,SKU-00189,18000,22000,1333
Sabun Mandi 10,Kebersihan,100g,SKU-00190,3500,5000,1340
Shampoo 10,Mie Instan,170ml,SKU-00191,18000,23000,1347
Pasta Gigi 10,Minuman,120g,SKU-00192,11000,15000,1354
Biskuit 10,Snack,120g,SKU-00193,6500,9000,1361
Keripik Kentang 10,Sembako,68g,SKU-00194,9000,12000,1368
Sarden Kaleng 10,Susu,155g,SKU-00195,12000,16000,1375
Kecap Manis 10,Kopi & Teh,600ml,SKU-00196,14000,18000,1382
Saus Sambal 10,Bumbu Dapur,335ml,SKU-00197,10000,14000,1389
Tepung Terigu 10,Makanan Kaleng,1kg,SKU-00198,12000,15000,1396
Telur Ayam 10,Perawatan Diri,1kg,SKU-00199,27000,32000,1403
Tisu Wajah 10,Kebersihan,200 sheets,SKU-00200,9000,13000,1410
Indomie Goreng 11,Mie Instan,85g,SKU-00201,2500,3500,1417
Indomie Soto 11,Minuman,75g,SKU-00202,2500,3500,1424
Aqua 11,Snack,600ml,SKU-00203,2500,4000,1431
Teh Botol Sosro 11,Sembako,450ml,SKU-00204,3500,5000,1438
Kopi Kapal Api 11,Susu,65g,SKU-00205,7000,9500,1445
Beras Premium 11,Kopi & Teh,5kg,SKU-00206,65000,75000,1452
Gula Pasir 11,Bumbu Dapur,1kg,SKU-00207,14500,17000,1459
Minyak Goreng 11,Makanan Kaleng,1L,SKU-00208,17000,20000,1466
Susu UHT 11,Perawatan Diri,1L,SKU-00209,18000,22000,1473
Sabun Mandi 11,Kebersihan,100g,SKU-00210,3500,5000,1480
Shampoo 11,Mie Instan,170ml,SKU-00211,18000,23000,1487
Pasta Gigi 11,Minuman,120g,SKU-00212,11000,15000,1494
Biskuit 11,Snack,120g,SKU-00213,6500,9000,1501
Keripik Kentang 11,Sembako,68g,SKU-00214,9000,12000,1508
Sarden Kaleng 11,Susu,155g,SKU-00215,12000,16000,1515
Kecap Manis 11,Kopi & Teh,600ml,SKU-00216,14000,18000,1522
Saus Sambal 11,Bumbu Dapur,335ml,SKU-00217,10000,14000,1529
Tepung Terigu 11,Makanan Kaleng,1kg,SKU-00218,12000,15000,1536
Telur Ayam 11,Perawatan Diri,1kg,SKU-00219,27000,32000,1543
Tisu Wajah 11,Kebersihan,200 sheets,SKU-00220,9000,13000,1550
Indomie Goreng 12,Mie Instan,85g,SKU-00221,2500,3500,1557
Indomie Soto 12,Minuman,75g,SKU-00222,2500,3500,1564
Aqua 12,Snack,600ml,SKU-00223,2500,4000,1571
Teh Botol Sosro 12,Sembako,450ml,SKU-00224,3500,5000,1578
Kopi Kapal Api 12,Susu,65g,SKU-00225,7000,9500,1585
Beras Premium 12,Kopi & Teh,5kg,SKU-00226,65000,75000,1592
Gula Pasir 12,Bumbu Dapur,1kg,SKU-00227,14500,17000,1599
Minyak Goreng 12,Makanan Kaleng,1L,SKU-00228,17000,20000,1606
Susu UHT 12,Perawatan Diri,1L,SKU-00229,18000,22000,1613
Sabun Mandi 12,Kebersihan,100g,SKU-00230,3500,5000,1620
Shampoo 12,Mie Instan,170ml,SKU-00231,18000,23000,1627
Pasta Gigi 12,Minuman,120g,SKU-00232,11000,15000,1634
Biskuit 12,Snack,120g,SKU-00233,6500,9000,1641
Keripik Kentang 12,Sembako,68g,SKU-00234,9000,12000,1648
Sarden Kaleng 12,Susu,155g,SKU-00235,12000,16000,1655
Kecap Manis 12,Kopi & Teh,600ml,SKU-00236,14000,18000,1662
Saus Sambal 12,Bumbu Dapur,335ml,SKU-00237,10000,14000,1669
Tepung Terigu 12,Makanan Kaleng,1kg,SKU-00238,12000,15000,1676
Telur Ayam 12,Perawatan Diri,1kg,SKU-00239,27000,32000,1683
Tisu Wajah 12,Kebersihan,200 sheets,SKU-00240,9000,13000,1690
Indomie Goreng 13,Mie Instan,85g,SKU-00241,2500,3500,1697
Indomie Soto 13,Minuman,75g,SKU-00242,2500,3500,1704
Aqua 13,Snack,600ml,SKU-00243,2500,4000,1711
Teh Botol Sosro 13,Sembako,450ml,SKU-00244,3500,5000,1718
Kopi Kapal Api 13,Susu,65g,SKU-00245,7000,9500,1725
Beras Premium 13,Kopi & Teh,5kg,SKU-00246,65000,75000,1732
Gula Pasir 13,Bumbu Dapur,1kg,SKU-00247,14500,17000,1739
Minyak Goreng 13,Makanan Kaleng,1L,SKU-00248,17000,20000,1746
Susu UHT 13,Perawatan Diri,1L,SKU-00249,18000,22000,1753
Sabun Mandi 13,Kebersihan,100g,SKU-00250,3500,5000,1760
Shampoo 13,Mie Instan,170ml,SKU-00251,18000,23000,1767
Pasta Gigi 13,Minuman,120g,SKU-00252,11000,15000,1774
Biskuit 13,Snack,120g,SKU-00253,6500,9000,1781
Keripik Kentang 13,Sembako,68g,SKU-00254,9000,12000,1788
Sarden Kaleng 13,Susu,155g,SKU-00255,12000,16000,1795
Kecap Manis 13,Kopi & Teh,600ml,SKU-00256,14000,18000,1802
Saus Sambal 13,Bumbu Dapur,335ml,SKU-00257,10000,14000,1809
Tepung Terigu 13,Makanan Kaleng,1kg,SKU-00258,12000,15000,1816
Telur Ayam 13,Perawatan Diri,1kg,SKU-00259,27000,32000,1823
Tisu Wajah 13,Kebersihan,200 sheets,SKU-00260,9000,13000,1830
Indomie Goreng 14,Mie Instan,85g,SKU-00261,2500,3500,1837
Indomie Soto 14,Minuman,75g,SKU-00262,2500,3500,1844
Aqua 14,Snack,600ml,SKU-00263,2500,4000,1851
Teh Botol Sosro 14,Sembako,450ml,SKU-00264,3500,5000,1858
Kopi Kapal Api 14,Susu,65g,SKU-00265,7000,9500,1865
Beras Premium 14,Kopi & Teh,5kg,SKU-00266,65000,75000,1872
Gula Pasir 14,Bumbu Dapur,1kg,SKU-00267,14500,17000,1879
Minyak Goreng 14,Makanan Kaleng,1L,SKU-00268,17000,20000,1886
Susu UHT 14,Perawatan Diri,1L,SKU-00269,18000,22000,1893
Sabun Mandi 14,Kebersihan,100g,SKU-00270,3500,5000,1900
Shampoo 14,Mie Instan,170ml,SKU-00271,18000,23000,1907
Pasta Gigi 14,Minuman,120g,SKU-00272,11000,15000,1914
Biskuit 14,Snack,120g,SKU-00273,6500,9000,1921
Keripik Kentang 14,Sembako,68g,SKU-00274,9000,12000,1928
Sarden Kaleng 14,Susu,155g,SKU-00275,12000,16000,1935
Kecap Manis 14,Kopi & Teh,600ml,SKU-00276,14000,18000,1942
Saus Sambal 14,Bumbu Dapur,335ml,SKU-00277,10000,14000,1949
Tepung Terigu 14,Makanan Kaleng,1kg,SKU-00278,12000,15000,1956
Telur Ayam 14,Perawatan Diri,1kg,SKU-00279,27000,32000,1963
Tisu Wajah 14,Kebersihan,200 sheets,SKU-00280,9000,13000,1970
Indomie Goreng 15,Mie Instan,85g,SKU-00281,2500,3500,1977
Indomie Soto 15,Minuman,75g,SKU-00282,2500,3500,1984
Aqua 15,Snack,600ml,SKU-00283,2500,4000,1991
Teh Botol Sosro 15,Sembako,450ml,SKU-00284,3500,5000,1998
Kopi Kapal Api 15,Susu,65g,SKU-00285,7000,9500,2005
Beras Premium 15,Kopi & Teh,5kg,SKU-00286,65000,75000,2012
Gula Pasir 15,Bumbu Dapur,1kg,SKU-00287,14500,17000,2019
Minyak Goreng 15,Makanan Kaleng,1L,SKU-00288,17000,20000,2026
Susu UHT 15,Perawatan Diri,1L,SKU-00289,18000,22000,2033
Sabun Mandi 15,Kebersihan,100g,SKU-00290,3500,5000,2040
Shampoo 15,Mie Instan,170ml,SKU-00291,18000,23000,2047
Pasta Gigi 15,Minuman,120g,SKU-00292,11000,15000,2054
Biskuit 15,Snack,120g,SKU-00293,6500,9000,2061
Keripik Kentang 15,Sembako,68g,SKU-00294,9000,12000,2068
Sarden Kaleng 15,Susu,155g,SKU-00295,12000,16000,2075
Kecap Manis 15,Kopi & Teh,600ml,SKU-00296,14000,18000,2082
Saus Sambal 15,Bumbu Dapur,335ml,SKU-00297,10000,14000,2089
Tepung Terigu 15,Makanan Kaleng,1kg,SKU-00298,12000,15000,2096
Telur Ayam 15,Perawatan Diri,1kg,SKU-00299,27000,32000,2103
Tisu Wajah 15,Kebersihan,200 sheets,SKU-00300,9000,13000,2110
Indomie Goreng 16,Mie Instan,85g,SKU-00301,2500,3500,2117
Indomie Soto 16,Minuman,75g,SKU-00302,2500,3500,2124
Aqua 16,Snack,600ml,SKU-00303,2500,4000,2131
Teh Botol Sosro 16,Sembako,450ml,SKU-00304,3500,5000,2138
Kopi Kapal Api 16,Susu,65g,SKU-00305,7000,9500,2145
Beras Premium 16,Kopi & Teh,5kg,SKU-00306,65000,75000,2152
Gula Pasir 16,Bumbu Dapur,1kg,SKU-00307,14500,17000,2159
Minyak Goreng 16,Makanan Kaleng,1L,SKU-00308,17000,20000,2166
Susu UHT 16,Perawatan Diri,1L,SKU-00309,18000,22000,2173
Sabun Mandi 16,Kebersihan,100g,SKU-00310,3500,5000,2180
Shampoo 16,Mie Instan,170ml,SKU-00311,18000,23000,2187
Pasta Gigi 16,Minuman,120g,SKU-00312,11000,15000,2194
Biskuit 16,Snack,120g,SKU-00313,6500,9000,2201
Keripik Kentang 16,Sembako,68g,SKU-00314,9000,12000,2208
Sarden Kaleng 16,Susu,155g,SKU-00315,12000,16000,2215
Kecap Manis 16,Kopi & Teh,600ml,SKU-00316,14000,18000,2222
Saus Sambal 16,Bumbu Dapur,335ml,SKU-00317,10000,14000,2229
Tepung Terigu 16,Makanan Kaleng,1kg,SKU-00318,12000,15000,2236
Telur Ayam 16,Perawatan Diri,1kg,SKU-00319,27000,32000,2243
Tisu Wajah 16,Kebersihan,200 sheets,SKU-00320,9000,13000,2250
Indomie Goreng 17,Mie Instan,85g,SKU-00321,2500,3500,2257
Indomie Soto 17,Minuman,75g,SKU-00322,2500,3500,2264
Aqua 17,Snack,600ml,SKU-00323,2500,4000,2271
Teh Botol Sosro 17,Sembako,450ml,SKU-00324,3500,5000,2278
Kopi Kapal Api 17,Susu,65g,SKU-00325,7000,9500,2285
Beras Premium 17,Kopi & Teh,5kg,SKU-00326,65000,75000,2292
Gula Pasir 17,Bumbu Dapur,1kg,SKU-00327,14500,17000,2299
Minyak Goreng 17,Makanan Kaleng,1L,SKU-00328,17000,20000,2306
Susu UHT 17,Perawatan Diri,1L,SKU-00329,18000,22000,2313
Sabun Mandi 17,Kebersihan,100g,SKU-00330,3500,5000,2320
Shampoo 17,Mie Instan,170ml,SKU-00331,18000,23000,2327
Pasta Gigi 17,Minuman,120g,SKU-00332,11000,15000,2334
Biskuit 17,Snack,120g,SKU-00333,6500,9000,2341
Keripik Kentang 17,Sembako,68g,SKU-00334,9000,12000,2348
Sarden Kaleng 17,Susu,155g,SKU-00335,12000,16000,2355
Kecap Manis 17,Kopi & Teh,600ml,SKU-00336,14000,18000,2362
Saus Sambal 17,Bumbu Dapur,335ml,SKU-00337,10000,14000,2369
Tepung Terigu 17,Makanan Kaleng,1kg,SKU-00338,12000,15000,2376
Telur Ayam 17,Perawatan Diri,1kg,SKU-00339,27000,32000,2383
Tisu Wajah 17,Kebersihan,200 sheets,SKU-00340,9000,13000,2390
Indomie Goreng 18,Mie Instan,85g,SKU-00341,2500,3500,2397
Indomie Soto 18,Minuman,75g,SKU-00342,2500,3500,2404
Aqua 18,Snack,600ml,SKU-00343,2500,4000,2411
Teh Botol Sosro 18,Sembako,450ml,SKU-00344,3500,5000,2418
Kopi Kapal Api 18,Susu,65g,SKU-00345,7000,9500,2425
Beras Premium 18,Kopi & Teh,5kg,SKU-00346,65000,75000,2432
Gula Pasir 18,Bumbu Dapur,1kg,SKU-00347,14500,17000,2439
Minyak Goreng 18,Makanan Kaleng,1L,SKU-00348,17000,20000,2446
Susu UHT 18,Perawatan Diri,1L,SKU-00349,18000,22000,2453
Sabun Mandi 18,Kebersihan,100g,SKU-00350,3500,5000,2460
Shampoo 18,Mie Instan,170ml,SKU-00351,18000,23000,2467
Pasta Gigi 18,Minuman,120g,SKU-00352,11000,15000,2474
Biskuit 18,Snack,120g,SKU-00353,6500,9000,2481
Keripik Kentang 18,Sembako,68g,SKU-00354,9000,12000,2488
Sarden Kaleng 18,Susu,155g,SKU-00355,12000,16000,2495
Kecap Manis 18,Kopi & Teh,600ml,SKU-00356,14000,18000,2502
Saus Sambal 18,Bumbu Dapur,335ml,SKU-00357,10000,14000,2509
Tepung Terigu 18,Makanan Kaleng,1kg,SKU-00358,12000,15000,2516
Telur Ayam 18,Perawatan Diri,1kg,SKU-00359,27000,32000,2523
Tisu Wajah 18,Kebersihan,200 sheets,SKU-00360,9000,13000,2530
Indomie Goreng 19,Mie Instan,85g,SKU-00361,2500,3500,2537
Indomie Soto 19,Minuman,75g,SKU-00362,2500,3500,2544
Aqua 19,Snack,600ml,SKU-00363,2500,4000,2551
Teh Botol Sosro 19,Sembako,450ml,SKU-00364,3500,5000,2558
Kopi Kapal Api 19,Susu,65g,SKU-00365,7000,9500,2565
Beras Premium 19,Kopi & Teh,5kg,SKU-00366,65000,75000,2572
Gula Pasir 19,Bumbu Dapur,1kg,SKU-00367,14500,17000,2579
Minyak Goreng 19,Makanan Kaleng,1L,SKU-00368,17000,20000,2586
Susu UHT 19,Perawatan Diri,1L,SKU-00369,18000,22000,2593
Sabun Mandi 19,Kebersihan,100g,SKU-00370,3500,5000,2600
Shampoo 19,Mie Instan,170ml,SKU-00371,18000,23000,2607
Pasta Gigi 19,Minuman,120g,SKU-00372,11000,15000,2614
Biskuit 19,Snack,120g,SKU-00373,6500,9000,2621
Keripik Kentang 19,Sembako,68g,SKU-00374,9000,12000,2628
Sarden Kaleng 19,Susu,155g,SKU-00375,12000,16000,2635
Kecap Manis 19,Kopi & Teh,600ml,SKU-00376,14000,18000,2642
Saus Sambal 19,Bumbu Dapur,335ml,SKU-00377,10000,14000,2649
Tepung Terigu 19,Makanan Kaleng,1kg,SKU-00378,12000,15000,2656
Telur Ayam 19,Perawatan Diri,1kg,SKU-00379,27000,32000,2663
Tisu Wajah 19,Kebersihan,200 sheets,SKU-00380,9000,13000,2670
Indomie Goreng 20,Mie Instan,85g,SKU-00381,2500,3500,2677
Indomie Soto 20,Minuman,75g,SKU-00382,2500,3500,2684
