name,category,variantName,sku,costPrice,sellingPrice,stockQuantity
Kecap Manis 5,Kopi & Teh,600ml,SKU-00096,14000,18000,109
Saus Sambal 5,Bumbu Dapur,335ml,SKU-00097,10000,14000,116
Tepung Terigu 5,Makanan Kaleng,1kg,SKU-00098,12000,15000,123
Telur Ayam 5,Perawatan Diri,1kg,SKU-00099,27000,32000,130
Tisu Wajah 5,Kebersihan,200 sheets,SKU-00100,9000,13000,137
Indomie Goreng 6,Mie Instan,85g,SKU-00101,2500,3500,144
Indomie Soto 6,Minuman,75g,SKU-00102,2500,3500,151
Aqua 6,Snack,600ml,SKU-00103,2500,4000,158
Teh Botol Sosro 6,Sembako,450ml,SKU-00104,3500,5000,165
Kopi Kapal Api 6,Susu,65g,SKU-00105,7000,9500,172
Beras Premium 6,Kopi & Teh,5kg,SKU-00106,65000,75000,179
Gula Pasir 6,Bumbu Dapur,1kg,SKU-00107,14500,17000,186
Minyak Goreng 6,Makanan Kaleng,1L,SKU-00108,17000,20000,193
Susu UHT 6,Perawatan Diri,1L,SKU-00109,18000,22000,200
Sabun Mandi 6,Kebersihan,100g,SKU-00110,3500,5000,16
Shampoo 6,Mie Instan,170ml,SKU-00111,18000,23000,23
Pasta Gigi 6,Minuman,120g,SKU-00112,11000,15000,30
Biskuit 6,Snack,120g,SKU-00113,6500,9000,37
Keripik Kentang 6,Sembako,68g,SKU-00114,9000,12000,44
Sarden Kaleng 6,Susu,155g,SKU-00115,12000,16000,51
Kecap Manis 6,Kopi & Teh,600ml,SKU-00116,14000,18000,58
Saus Sambal 6,Bumbu Dapur,335ml,SKU-00117,10000,14000,65
Tepung Terigu 6,Makanan Kaleng,1kg,SKU-00118,12000,15000,72
Telur Ayam 6,Perawatan Diri,1kg,SKU-00119,27000,32000,79
Tisu Wajah 6,Kebersihan,200 sheets,SKU-00120,9000,13000,86
Indomie Goreng 7,Mie Instan,85g,SKU-00121,2500,3500,93
Indomie Soto 7,Minuman,75g,SKU-00122,2500,3500,100
Aqua 7,Snack,600ml,SKU-00123,2500,4000,107
Teh Botol Sosro 7,Sembako,450ml,SKU-00124,3500,5000,114
Kopi Kapal Api 7,Susu,65g,SKU-00125,7000,9500,121
Beras Premium 7,Kopi & Teh,5kg,SKU-00126,65000,75000,128
Gula Pasir 7,Bumbu Dapur,1kg,SKU-00127,14500,17000,135
Minyak Goreng 7,Makanan Kaleng,1L,SKU-00128,17000,20000,142
Susu UHT 7,Perawatan Diri,1L,SKU-00129,18000,22000,149
Sabun Mandi 7,Kebersihan,100g,SKU-00130,3500,5000,156
Shampoo 7,Mie Instan,170ml,SKU-00131,18000,23000,163
Pasta Gigi 7,Minuman,120g,SKU-00132,11000,15000,170
Biskuit 7,Snack,120g,SKU-00133,6500,9000,177
Keripik Kentang 7,Sembako,68g,SKU-00134,9000,12000,184
Sarden Kaleng 7,Susu,155g,SKU-00135,12000,16000,191
Kecap Manis 7,Kopi & Teh,600ml,SKU-00136,14000,18000,198
Saus Sambal 7,Bumbu Dapur,335ml,SKU-00137,10000,14000,14
Tepung Terigu 7,Makanan Kaleng,1kg,SKU-00138,12000,15000,21
Telur Ayam 7,Perawatan Diri,1kg,SKU-00139,27000,32000,28
Tisu Wajah 7,Kebersihan,200 sheets,SKU-00140,9000,13000,35
Indomie Goreng 8,Mie Instan,85g,SKU-00141,2500,3500,42
Indomie Soto 8,Minuman,75g,SKU-00142,2500,3500,49
Aqua 8,Snack,600ml,SKU-00143,2500,4000,56
Teh Botol Sosro 8,Sembako,450ml,SKU-00144,3500,5000,63
Kopi Kapal Api 8,Susu,65g,SKU-00145,7000,9500,70
Beras Premium 8,Kopi & Teh,5kg,SKU-00146,65000,75000,77
Gula Pasir 8,Bumbu Dapur,1kg,SKU-00147,14500,17000,84
Minyak Goreng 8,Makanan Kaleng,1L,SKU-00148,17000,20000,91
Susu UHT 8,Perawatan Diri,1L,SKU-00149,18000,22000,98
Sabun Mandi 8,Kebersihan,100g,SKU-00150,3500,5000,105
Shampoo 8,Mie Instan,170ml,SKU-00151,18000,23000,112
Pasta Gigi 8,Minuman,120g,SKU-00152,11000,15000,119
Biskuit 8,Snack,120g,SKU-00153,6500,9000,126
Keripik Kentang 8,Sembako,68g,SKU-00154,9000,12000,133
Sarden Kaleng 8,Susu,155g,SKU-00155,12000,16000,140
Kecap Manis 8,Kopi & Teh,600ml,SKU-00156,14000,18000,147
Saus Sambal 8,Bumbu Dapur,335ml,SKU-00157,10000,14000,154
Tepung Terigu 8,Makanan Kaleng,1kg,SKU-00158,12000,15000,161
Telur Ayam 8,Perawatan Diri,1kg,SKU-00159,27000,32000,168
Tisu Wajah 8,Kebersihan,200 sheets,SKU-00160,9000,13000,175
Indomie Goreng 9,Mie Instan,85g,SKU-00161,2500,3500,182
Indomie Soto 9,Minuman,75g,SKU-00162,2500,3500,189
Aqua 9,Snack,600ml,SKU-00163,2500,4000,196
Teh Botol Sosro 9,Sembako,450ml,SKU-00164,3500,5000,12
Kopi Kapal Api 9,Susu,65g,SKU-00165,7000,9500,19
Beras Premium 9,Kopi & Teh,5kg,SKU-00166,65000,75000,26
Gula Pasir 9,Bumbu Dapur,1kg,SKU-00167,14500,17000,33
Minyak Goreng 9,Makanan Kaleng,1L,SKU-00168,17000,20000,40
Susu UHT 9,Perawatan Diri,1L,SKU-00169,18000,22000,47
Sabun Mandi 9,Kebersihan,100g,SKU-00170,3500,5000,54
Shampoo 9,Mie Instan,170ml,SKU-00171,18000,23000,61
Pasta Gigi 9,Minuman,120g,SKU-00172,11000,15000,68
Biskuit 9,Snack,120g,SKU-00173,6500,9000,75
Keripik Kentang 9,Sembako,68g,SKU-00174,9000,12000,82
Sarden Kaleng 9,Susu,155g,SKU-00175,12000,16000,89
Kecap Manis 9,Kopi & Teh,600ml,SKU-00176,14000,18000,96
Saus Sambal 9,Bumbu Dapur,335ml,SKU-00177,10000,14000,103
Tepung Terigu 9,Makanan Kaleng,1kg,SKU-00178,12000,15000,110
Telur Ayam 9,Perawatan Diri,1kg,SKU-00179,27000,32000,117
Tisu Wajah 9,Kebersihan,200 sheets,SKU-00180,9000,13000,124
Indomie Goreng 10,Mie Instan,85g,SKU-00181,2500,3500,131
Indomie Soto 10,Minuman,75g,SKU-00182,2500,3500,138
Aqua 10,Snack,600ml,SKU-00183,2500,4000,145
Teh Botol Sosro 10,Sembako,450ml,SKU-00184,3500,5000,152
Kopi Kapal Api 10,Susu,65g,SKU-00185,7000,9500,159
Beras Premium 10,Kopi & Teh,5kg,SKU-00186,65000,75000,166
Gula Pasir 10,Bumbu Dapur,1kg,SKU-00187,14500,17000,173
Minyak Goreng 10,Makanan Kaleng,1L,SKU-00188,17000,20000,180
Susu UHT 10,Perawatan Diri,1L,SKU-00189,18000,22000,187
Sabun Mandi 10,Kebersihan,100g,SKU-00190,3500,5000,194
Shampoo 10,Mie Instan,170ml,SKU-00191,18000,23000,10
Pasta Gigi 10,Minuman,120g,SKU-00192,11000,15000,17
Biskuit 10,Snack,120g,SKU-00193,6500,9000,24
Keripik Kentang 10,Sembako,68g,SKU-00194,9000,12000,31
Sarden Kaleng 10,Susu,155g,SKU-00195,12000,16000,38
Kecap Manis 10,Kopi & Teh,600ml,SKU-00196,14000,18000,45
Saus Sambal 10,Bumbu Dapur,335ml,SKU-00197,10000,14000,52
Tepung Terigu 10,Makanan Kaleng,1kg,SKU-00198,12000,15000,59
Telur Ayam 10,Perawatan Diri,1kg,SKU-00199,27000,32000,66
Tisu Wajah 10,Kebersihan,200 sheets,SKU-00200,9000,13000,73
Indomie Goreng 11,Mie Instan,85g,SKU-00201,2500,3500,80
Indomie Soto 11,Minuman,75g,SKU-00202,2500,3500,87
Aqua 11,Snack,600ml,SKU-00203,2500,4000,94
Teh Botol Sosro 11,Sembako,450ml,SKU-00204,3500,5000,101
Kopi Kapal Api 11,Susu,65g,SKU-00205,7000,9500,108
Beras Premium 11,Kopi & Teh,5kg,SKU-00206,65000,75000,115
Gula Pasir 11,Bumbu Dapur,1kg,SKU-00207,14500,17000,122
Minyak Goreng 11,Makanan Kaleng,1L,SKU-00208,17000,20000,129
Susu UHT 11,Perawatan Diri,1L,SKU-00209,18000,22000,136
Sabun Mandi 11,Kebersihan,100g,SKU-00210,3500,5000,143
Shampoo 11,Mie Instan,170ml,SKU-00211,18000,23000,150
Pasta Gigi 11,Minuman,120g,SKU-00212,11000,15000,157
Biskuit 11,Snack,120g,SKU-00213,6500,9000,164
Keripik Kentang 11,Sembako,68g,SKU-00214,9000,12000,171
Sarden Kaleng 11,Susu,155g,SKU-00215,12000,16000,178
Kecap Manis 11,Kopi & Teh,600ml,SKU-00216,14000,18000,185
Saus Sambal 11,Bumbu Dapur,335ml,SKU-00217,10000,14000,192
Tepung Terigu 11,Makanan Kaleng,1kg,SKU-00218,12000,15000,199
Telur Ayam 11,Perawatan Diri,1kg,SKU-00219,27000,32000,15
Tisu Wajah 11,Kebersihan,200 sheets,SKU-00220,9000,13000,22
Indomie Goreng 12,Mie Instan,85g,SKU-00221,2500,3500,29
Indomie Soto 12,Minuman,75g,SKU-00222,2500,3500,36
Aqua 12,Snack,600ml,SKU-00223,2500,4000,43
Teh Botol Sosro 12,Sembako,450ml,SKU-00224,3500,5000,50
Kopi Kapal Api 12,Susu,65g,SKU-00225,7000,9500,57
Beras Premium 12,Kopi & Teh,5kg,SKU-00226,65000,75000,64
Gula Pasir 12,Bumbu Dapur,1kg,SKU-00227,14500,17000,71
Minyak Goreng 12,Makanan Kaleng,1L,SKU-00228,17000,20000,78
Susu UHT 12,Perawatan Diri,1L,SKU-00229,18000,22000,85
Sabun Mandi 12,Kebersihan,100g,SKU-00230,3500,5000,92
Shampoo 12,Mie Instan,170ml,SKU-00231,18000,23000,99
Pasta Gigi 12,Minuman,120g,SKU-00232,11000,15000,106
Biskuit 12,Snack,120g,SKU-00233,6500,9000,113
Keripik Kentang 12,Sembako,68g,SKU-00234,9000,12000,120
Sarden Kaleng 12,Susu,155g,SKU-00235,12000,16000,127
Kecap Manis 12,Kopi & Teh,600ml,SKU-00236,14000,18000,134
Saus Sambal 12,Bumbu Dapur,335ml,SKU-00237,10000,14000,141
Tepung Terigu 12,Makanan Kaleng,1kg,SKU-00238,12000,15000,148
Telur Ayam 12,Perawatan Diri,1kg,SKU-00239,27000,32000,155
Tisu Wajah 12,Kebersihan,200 sheets,SKU-00240,9000,13000,162
Indomie Goreng 13,Mie Instan,85g,SKU-00241,2500,3500,169
Indomie Soto 13,Minuman,75g,SKU-00242,2500,3500,176
Aqua 13,Snack,600ml,SKU-00243,2500,4000,183
Teh Botol Sosro 13,Sembako,450ml,SKU-00244,3500,5000,190
Kopi Kapal Api 13,Susu,65g,SKU-00245,7000,9500,197
Beras Premium 13,Kopi & Teh,5kg,SKU-00246,65000,75000,13
Gula Pasir 13,Bumbu Dapur,1kg,SKU-00247,14500,17000,20
Minyak Goreng 13,Makanan Kaleng,1L,SKU-00248,17000,20000,27
Susu UHT 13,Perawatan Diri,1L,SKU-00249,18000,22000,34
Sabun Mandi 13,Kebersihan,100g,SKU-00250,3500,5000,41
Shampoo 13,Mie Instan,170ml,SKU-00251,18000,23000,48
Pasta Gigi 13,Minuman,120g,SKU-00252,11000,15000,55
Biskuit 13,Snack,120g,SKU-00253,6500,9000,62
Keripik Kentang 13,Sembako,68g,SKU-00254,9000,12000,69
Sarden Kaleng 13,Susu,155g,SKU-00255,12000,16000,76
Kecap Manis 13,Kopi & Teh,600ml,SKU-00256,14000,18000,83
Saus Sambal 13,Bumbu Dapur,335ml,SKU-00257,10000,14000,90
Tepung Terigu 13,Makanan Kaleng,1kg,SKU-00258,12000,15000,97
Telur Ayam 13,Perawatan Diri,1kg,SKU-00259,27000,32000,104
Tisu Wajah 13,Kebersihan,200 sheets,SKU-00260,9000,13000,111
Indomie Goreng 14,Mie Instan,85g,SKU-00261,2500,3500,118
Indomie Soto 14,Minuman,75g,SKU-00262,2500,3500,125
Aqua 14,Snack,600ml,SKU-00263,2500,4000,132
Teh Botol Sosro 14,Sembako,450ml,SKU-00264,3500,5000,139
Kopi Kapal Api 14,Susu,65g,SKU-00265,7000,9500,146
Beras Premium 14,Kopi & Teh,5kg,SKU-00266,65000,75000,153
Gula Pasir 14,Bumbu Dapur,1kg,SKU-00267,14500,17000,160
Minyak Goreng 14,Makanan Kaleng,1L,SKU-00268,17000,20000,167
Susu UHT 14,Perawatan Diri,1L,SKU-00269,18000,22000,174
Sabun Mandi 14,Kebersihan,100g,SKU-00270,3500,5000,181
Shampoo 14,Mie Instan,170ml,SKU-00271,18000,23000,188
Pasta Gigi 14,Minuman,120g,SKU-00272,11000,15000,195
Biskuit 14,Snack,120g,SKU-00273,6500,9000,11
Keripik Kentang 14,Sembako,68g,SKU-00274,9000,12000,18
Sarden Kaleng 14,Susu,155g,SKU-00275,12000,16000,25
Kecap Manis 14,Kopi & Teh,600ml,SKU-00276,14000,18000,32
Saus Sambal 14,Bumbu Dapur,335ml,SKU-00277,10000,14000,39
Tepung Terigu 14,Makanan Kaleng,1kg,SKU-00278,12000,15000,46
Telur Ayam 14,Perawatan Diri,1kg,SKU-00279,27000,32000,53
Tisu Wajah 14,Kebersihan,200 sheets,SKU-00280,9000,13000,60
Indomie Goreng 15,Mie Instan,85g,SKU-00281,2500,3500,67
Indomie Soto 15,Minuman,75g,SKU-00282,2500,3500,74
Aqua 15,Snack,600ml,SKU-00283,2500,4000,81
Teh Botol Sosro 15,Sembako,450ml,SKU-00284,3500,5000,88
Kopi Kapal Api 15,Susu,65g,SKU-00285,7000,9500,95
Beras Premium 15,Kopi & Teh,5kg,SKU-00286,65000,75000,102
Gula Pasir 15,Bumbu Dapur,1kg,SKU-00287,14500,17000,109
Minyak Goreng 15,Makanan Kaleng,1L,SKU-00288,17000,20000,116
Susu UHT 15,Perawatan Diri,1L,SKU-00289,18000,22000,123
Sabun Mandi 15,Kebersihan,100g,SKU-00290,3500,5000,130
Shampoo 15,Mie Instan,170ml,SKU-00291,18000,23000,137
Pasta Gigi 15,Minuman,120g,SKU-00292,11000,15000,144
Biskuit 15,Snack,120g,SKU-00293,6500,9000,151
Keripik Kentang 15,Sembako,68g,SKU-00294,9000,12000,158
Sarden Kaleng 15,Susu,155g,SKU-00295,12000,16000,165
Kecap Manis 15,Kopi & Teh,600ml,SKU-00296,14000,18000,172
Saus Sambal 15,Bumbu Dapur,335ml,SKU-00297,10000,14000,179
Tepung Terigu 15,Makanan Kaleng,1kg,SKU-00298,12000,15000,186
Telur Ayam 15,Perawatan Diri,1kg,SKU-00299,27000,32000,193
Tisu Wajah 15,Kebersihan,200 sheets,SKU-00300,9000,13000,200
Indomie Goreng 16,Mie Instan,85g,SKU-00301,2500,3500,16
Indomie Soto 16,Minuman,75g,SKU-00302,2500,3500,23
Aqua 16,Snack,600ml,SKU-00303,2500,4000,30
Teh Botol Sosro 16,Sembako,450ml,SKU-00304,3500,5000,37
Kopi Kapal Api 16,Susu,65g,SKU-00305,7000,9500,44
Beras Premium 16,Kopi & Teh,5kg,SKU-00306,65000,75000,51
Gula Pasir 16,Bumbu Dapur,1kg,SKU-00307,14500,17000,58
Minyak Goreng 16,Makanan Kaleng,1L,SKU-00308,17000,20000,65
Susu UHT 16,Perawatan Diri,1L,SKU-00309,18000,22000,72
Sabun Mandi 16,Kebersihan,100g,SKU-00310,3500,5000,79
Shampoo 16,Mie Instan,170ml,SKU-00311,18000,23000,86
Pasta Gigi 16,Minuman,120g,SKU-00312,11000,15000,93
Biskuit 16,Snack,120g,SKU-00313,6500,9000,100
Keripik Kentang 16,Sembako,68g,SKU-00314,9000,12000,107
Sarden Kaleng 16,Susu,155g,SKU-00315,12000,16000,114
Kecap Manis 16,Kopi & Teh,600ml,SKU-00316,14000,18000,121
Saus Sambal 16,Bumbu Dapur,335ml,SKU-00317,10000,14000,128
Tepung Terigu 16,Makanan Kaleng,1kg,SKU-00318,12000,15000,135
Telur Ayam 16,Perawatan Diri,1kg,SKU-00319,27000,32000,142
Tisu Wajah 16,Kebersihan,200 sheets,SKU-00320,9000,13000,149
Indomie Goreng 17,Mie Instan,85g,SKU-00321,2500,3500,156
Indomie Soto 17,Minuman,75g,SKU-00322,2500,3500,163
Aqua 17,Snack,600ml,SKU-00323,2500,4000,170
Teh Botol Sosro 17,Sembako,450ml,SKU-00324,3500,5000,177
Kopi Kapal Api 17,Susu,65g,SKU-00325,7000,9500,184
Beras Premium 17,Kopi & Teh,5kg,SKU-00326,65000,75000,191
Gula Pasir 17,Bumbu Dapur,1kg,SKU-00327,14500,17000,198
Minyak Goreng 17,Makanan Kaleng,1L,SKU-00328,17000,20000,14
Susu UHT 17,Perawatan Diri,1L,SKU-00329,18000,22000,21
Sabun Mandi 17,Kebersihan,100g,SKU-00330,3500,5000,28
Shampoo 17,Mie Instan,170ml,SKU-00331,18000,23000,35
Pasta Gigi 17,Minuman,120g,SKU-00332,11000,15000,42
Biskuit 17,Snack,120g,SKU-00333,6500,9000,49
Keripik Kentang 17,Sembako,68g,SKU-00334,9000,12000,56
Sarden Kaleng 17,Susu,155g,SKU-00335,12000,16000,63
Kecap Manis 17,Kopi & Teh,600ml,SKU-00336,14000,18000,70
Saus Sambal 17,Bumbu Dapur,335ml,SKU-00337,10000,14000,77
Tepung Terigu 17,Makanan Kaleng,1kg,SKU-00338,12000,15000,84
Telur Ayam 17,Perawatan Diri,1kg,SKU-00339,27000,32000,91
Tisu Wajah 17,Kebersihan,200 sheets,SKU-00340,9000,13000,98
Indomie Goreng 18,Mie Instan,85g,SKU-00341,2500,3500,105
Indomie Soto 18,Minuman,75g,SKU-00342,2500,3500,112
Aqua 18,Snack,600ml,SKU-00343,2500,4000,119
Teh Botol Sosro 18,Sembako,450ml,SKU-00344,3500,5000,126
Kopi Kapal Api 18,Susu,65g,SKU-00345,7000,9500,133
Beras Premium 18,Kopi & Teh,5kg,SKU-00346,65000,75000,140
Gula Pasir 18,Bumbu Dapur,1kg,SKU-00347,14500,17000,147
Minyak Goreng 18,Makanan Kaleng,1L,SKU-00348,17000,20000,154
Susu UHT 18,Perawatan Diri,1L,SKU-00349,18000,22000,161
Sabun Mandi 18,Kebersihan,100g,SKU-00350,3500,5000,168
Shampoo 18,Mie Instan,170ml,SKU-00351,18000,23000,175
Pasta Gigi 18,Minuman,120g,SKU-00352,11000,15000,182
Biskuit 18,Snack,120g,SKU-00353,6500,9000,189
Keripik Kentang 18,Sembako,68g,SKU-00354,9000,12000,196
Sarden Kaleng 18,Susu,155g,SKU-00355,12000,16000,12
Kecap Manis 18,Kopi & Teh,600ml,SKU-00356,14000,18000,19
Saus Sambal 18,Bumbu Dapur,335ml,SKU-00357,10000,14000,26
Tepung Terigu 18,Makanan Kaleng,1kg,SKU-00358,12000,15000,33
Telur Ayam 18,Perawatan Diri,1kg,SKU-00359,27000,32000,40
Tisu Wajah 18,Kebersihan,200 sheets,SKU-00360,9000,13000,47
Indomie Goreng 19,Mie Instan,85g,SKU-00361,2500,3500,54
Indomie Soto 19,Minuman,75g,SKU-00362,2500,3500,61
Aqua 19,Snack,600ml,SKU-00363,2500,4000,68
Teh Botol Sosro 19,Sembako,450ml,SKU-00364,3500,5000,75
Kopi Kapal Api 19,Susu,65g,SKU-00365,7000,9500,82
Beras Premium 19,Kopi & Teh,5kg,SKU-00366,65000,75000,89
Gula Pasir 19,Bumbu Dapur,1kg,SKU-00367,14500,17000,96
Minyak Goreng 19,Makanan Kaleng,1L,SKU-00368,17000,20000,103
Susu UHT 19,Perawatan Diri,1L,SKU-00369,18000,22000,110
Sabun Mandi 19,Kebersihan,100g,SKU-00370,3500,5000,117
Shampoo 19,Mie Instan,170ml,SKU-00371,18000,23000,124
Pasta Gigi 19,Minuman,120g,SKU-00372,11000,15000,131
Biskuit 19,Snack,120g,SKU-00373,6500,9000,138
Keripik Kentang 19,Sembako,68g,SKU-00374,9000,12000,145
Sarden Kaleng 19,Susu,155g,SKU-00375,12000,16000,152
Kecap Manis 19,Kopi & Teh,600ml,SKU-00376,14000,18000,159
Saus Sambal 19,Bumbu Dapur,335ml,SKU-00377,10000,14000,166
Tepung Terigu 19,Makanan Kaleng,1kg,SKU-00378,12000,15000,173
Telur Ayam 19,Perawatan Diri,1kg,SKU-00379,27000,32000,180
Tisu Wajah 19,Kebersihan,200 sheets,SKU-00380,9000,13000,187
Indomie Goreng 20,Mie Instan,85g,SKU-00381,2500,3500,194
Indomie Soto 20,Minuman,75g,SKU-00382,2500,3500,10
Aqua 20,Snack,600ml,SKU-00383,2500,4000,17
Teh Botol Sosro 20,Sembako,450ml,SKU-00384,3500,5000,24
Kopi Kapal Api 20,Susu,65g,SKU-00385,7000,9500,31
Beras Premium 20,Kopi & Teh,5kg,SKU-00386,65000,75000,38
Gula Pasir 20,Bumbu Dapur,1kg,SKU-00387,14500,17000,45
Minyak Goreng 20,Makanan Kaleng,1L,SKU-00388,17000,20000,52
Susu UHT 20,Perawatan Diri,1L,SKU-00389,18000,22000,59
