name,category,sku,variantName,costPrice,sellingPrice,stockQuantity
Prima Air Mineral 0038,ATK,SKU-000076,600 ml,117901,140500,46
Prima Air Mineral 0038,ATK,SKU-000077,1.5 L,73318,94500,19
Sejahtera Mie Instan 0039,Rumah Tangga,SKU-000078,Original,116464,162200,140
Maju Biskuit 0040,Kesehatan,SKU-000079,50 g,25966,30300,138
Maju Biskuit 0040,Kesehatan,SKU-000080,100 g,4168,6000,192
Jaya Keripik 0041,Makanan,SKU-000081,50 g,62265,74700,124
Jaya Keripik 0041,Makanan,SKU-000082,100 g,126485,153600,102
Jaya Keripik 0041,Makanan,SKU-000083,250 g,15670,18800,0
Sentosa Saus 0042,Minuman,SKU-000084,135 ml,102646,126200,200
Makmur Kecap 0043,Snack,SKU-000085,135 ml,119577,147700,178
Makmur Kecap 0043,Snack,SKU-000086,275 ml,145991,196900,124
Fresh Sabun Mandi 0044,Sembako,SKU-000087,70 g,40879,49300,55
Fresh Sabun Mandi 0044,Sembako,SKU-000088,100 g,15631,20700,138
Fresh Sabun Mandi 0044,Sembako,SKU-000089,250 g,16279,22400,14
Daily Shampoo 0045,Perawatan Diri,SKU-000090,170 ml,13444,17800,128
Choice Pasta Gigi 0046,Kebersihan,SKU-000091,75 g,139531,167100,130
Choice Pasta Gigi 0046,Kebersihan,SKU-000092,120 g,21300,29900,17
Max Detergen 0047,Elektronik,SKU-000093,500 g,18115,24500,60
Max Detergen 0047,Elektronik,SKU-000094,1 kg,106147,125900,145
Max Detergen 0047,Elektronik,SKU-000095,2.5 kg,64843,85800,10
Plus Tisu 0048,ATK,SKU-000096,10 sheets,21791,27800,149
Nusantara Pewangi 0049,Rumah Tangga,SKU-000097,250 ml,148470,194000,66
Nusantara Pewangi 0049,Rumah Tangga,SKU-000098,450 ml,53845,72700,80
Prima Pulpen 0050,Kesehatan,SKU-000099,0.5 mm,62870,77300,33
Prima Pulpen 0050,Kesehatan,SKU-000100,0.7 mm,78942,101600,192
Prima Pulpen 0050,Kesehatan,SKU-000101,1.0 mm,19316,22300,159
Sejahtera Buku Tulis 0051,Makanan,SKU-000102,38 sheets,147885,214300,18
Maju Lampu LED 0052,Minuman,SKU-000103,5 W,141237,171500,67
Maju Lampu LED 0052,Minuman,SKU-000104,9 W,35022,50100,17
Jaya Baterai 0053,Snack,SKU-000105,AA,64337,81100,40
Jaya Baterai 0053,Snack,SKU-000106,AAA,115167,161200,180
Jaya Baterai 0053,Snack,SKU-000107,9V,79603,106200,167
Sentosa Kabel USB 0054,Sembako,SKU-000108,1 m,138958,160100,141
Makmur Sapu 0055,Perawatan Diri,SKU-000109,Standard,78780,112600,26
Makmur Sapu 0055,Perawatan Diri,SKU-000110,Premium,35503,43600,27
Fresh Pel 0056,Kebersihan,SKU-000111,Standard,145324,173900,72
Fresh Pel 0056,Kebersihan,SKU-000112,Microfiber,55515,75800,52
Fresh Pel 0056,Kebersihan,SKU-000113,Spray,69501,90500,64
Daily Spons 0057,Elektronik,SKU-000114,Small,13616,16000,108
Choice Vitamin 0058,ATK,SKU-000115,30 tablets,72830,84700,85
Choice Vitamin 0058,ATK,SKU-000116,60 tablets,34593,46400,67
Max Masker 0059,Rumah Tangga,SKU-000117,10 pcs,42657,58500,141
Max Masker 0059,Rumah Tangga,SKU-000118,25 pcs,112415,148200,28
Max Masker 0059,Rumah Tangga,SKU-000119,50 pcs,20024,28700,176
Plus Hand Sanitizer 0060,Kesehatan,SKU-000120,60 ml,39373,51700,94
Nusantara Beras 0061,Makanan,SKU-000121,5 kg,145141,173400,32
Nusantara Beras 0061,Makanan,SKU-000122,10 kg,11265,14000,10
Prima Minyak Goreng 0062,Minuman,SKU-000123,1 L,94097,114100,63
Prima Minyak Goreng 0062,Minuman,SKU-000124,2 L,27246,34200,143
Prima Minyak Goreng 0062,Minuman,SKU-000125,5 L,106829,154100,191
Sejahtera Gula 0063,Snack,SKU-000126,500 g,40815,58300,60
Maju Tepung 0064,Sembako,SKU-000127,500 g,42898,61900,45
Maju Tepung 0064,Sembako,SKU-000128,1 kg,108380,125400,188
Jaya Kopi 0065,Perawatan Diri,SKU-000129,100 g,87380,121000,105
Jaya Kopi 0065,Perawatan Diri,SKU-000130,200 g,65355,80400,179
Jaya Kopi 0065,Perawatan Diri,SKU-000131,500 g,28636,36200,9
Sentosa Teh 0066,Kebersihan,SKU-000132,25 sachet,123688,150500,117
Makmur Susu 0067,Elektronik,SKU-000133,200 ml,91960,114200,58
Makmur Susu 0067,Elektronik,SKU-000134,1 L,58738,68000,49
Fresh Air Mineral 0068,ATK,SKU-000135,330 ml,104755,130800,17
Fresh Air Mineral 0068,ATK,SKU-000136,600 ml,73470,92200,130
Fresh Air Mineral 0068,ATK,SKU-000137,1.5 L,105073,142300,137
Daily Mie Instan 0069,Rumah Tangga,SKU-000138,Original,87108,124700,29
Choice Biskuit 0070,Kesehatan,SKU-000139,50 g,68775,82800,67
Choice Biskuit 0070,Kesehatan,SKU-000140,100 g,10328,12200,111
Max Keripik 0071,Makanan,SKU-000141,50 g,90919,124400,80
Max Keripik 0071,Makanan,SKU-000142,100 g,114698,152800,130
Max Keripik 0071,Makanan,SKU-000143,250 g,30615,38700,147
Plus Saus 0072,Minuman,SKU-000144,135 ml,50128,61500,181
Nusantara Kecap 0073,Snack,SKU-000145,135 ml,114609,131900,137
Nusantara Kecap 0073,Snack,SKU-000146,275 ml,51951,65400,17
Prima Sabun Mandi 0074,Sembako,SKU-000147,70 g,86859,116100,169
Prima Sabun Mandi 0074,Sembako,SKU-000148,100 g,32969,45000,76
Prima Sabun Mandi 0074,Sembako,SKU-000149,250 g,133239,165600,104
Sejahtera Shampoo 0075,Perawatan Diri,SKU-000150,170 ml,85806,109000,75
Maju Pasta Gigi 0076,Kebersihan,SKU-000151,75 g,145635,173000,107
Maju Pasta Gigi 0076,Kebersihan,SKU-000152,120 g,99690,134900,44
Jaya Detergen 0077,Elektronik,SKU-000153,500 g,149487,185400,140
Jaya Detergen 0077,Elektronik,SKU-000154,1 kg,406,500,53
Jaya Detergen 0077,Elektronik,SKU-000155,2.5 kg,112992,156600,155
Sentosa Tisu 0078,ATK,SKU-000156,10 sheets,84775,109300,113
Makmur Pewangi 0079,Rumah Tangga,SKU-000157,250 ml,56320,73400,188
Makmur Pewangi 0079,Rumah Tangga,SKU-000158,450 ml,44783,60400,72
Fresh Pulpen 0080,Kesehatan,SKU-000159,0.5 mm,135422,182700,158
Fresh Pulpen 0080,Kesehatan,SKU-000160,0.7 mm,88167,103900,192
Fresh Pulpen 0080,Kesehatan,SKU-000161,1.0 mm,61869,83600,57
Daily Buku Tulis 0081,Makanan,SKU-000162,38 sheets,52500,62700,11
Choice Lampu LED 0082,Minuman,SKU-000163,5 W,64484,93200,156
Choice Lampu LED 0082,Minuman,SKU-000164,9 W,19391,24900,161
Max Baterai 0083,Snack,SKU-000165,AA,51270,70000,98
Max Baterai 0083,Snack,SKU-000166,AAA,129898,165000,37
Max Baterai 0083,Snack,SKU-000167,9V,1753,2500,197
Plus Kabel USB 0084,Sembako,SKU-000168,1 m,28241,39100,56
Nusantara Sapu 0085,Perawatan Diri,SKU-000169,Standard,46407,64600,178
Nusantara Sapu 0085,Perawatan Diri,SKU-000170,Premium,136079,175500,142
Prima Pel 0086,Kebersihan,SKU-000171,Standard,65625,93500,31
Prima Pel 0086,Kebersihan,SKU-000172,Microfiber,119958,142800,118
Prima Pel 0086,Kebersihan,SKU-000173,Spray,139533,201800,152
Sejahtera Spons 0087,Elektronik,SKU-000174,Small,83477,119800,113
Maju Vitamin 0088,ATK,SKU-000175,30 tablets,132624,169500,140
Maju Vitamin 0088,ATK,SKU-000176,60 tablets,117193,166300,190
Jaya Masker 0089,Rumah Tangga,SKU-000177,10 pcs,124733,160300,192
Jaya Masker 0089,Rumah Tangga,SKU-000178,25 pcs,65112,91300,70
Jaya Masker 0089,Rumah Tangga,SKU-000179,50 pcs,136955,177400,61
Sentosa Hand Sanitizer 0090,Kesehatan,SKU-000180,60 ml,72284,92700,182
Makmur Beras 0091,Makanan,SKU-000181,5 kg,75201,91800,85
Makmur Beras 0091,Makanan,SKU-000182,10 kg,84109,119300,20
Fresh Minyak Goreng 0092,Minuman,SKU-000183,1 L,36573,43700,98
Fresh Minyak Goreng 0092,Minuman,SKU-000184,2 L,40356,55000,16
Fresh Minyak Goreng 0092,Minuman,SKU-000185,5 L,109055,138700,138
Daily Gula 0093,Snack,SKU-000186,500 g,122439,156100,52
Choice Tepung 0094,Sembako,SKU-000187,500 g,110438,139900,197
Choice Tepung 0094,Sembako,SKU-000188,1 kg,5420,7600,195
Max Kopi 0095,Perawatan Diri,SKU-000189,100 g,100014,129300,90
Max Kopi 0095,Perawatan Diri,SKU-000190,200 g,78579,108100,107
Max Kopi 0095,Perawatan Diri,SKU-000191,500 g,141391,194300,139
Plus Teh 0096,Kebersihan,SKU-000192,25 sachet,58112,75300,69
Nusantara Susu 0097,Elektronik,SKU-000193,200 ml,114551,148400,99
Nusantara Susu 0097,Elektronik,SKU-000194,1 L,88414,119400,103
Prima Air Mineral 0098,ATK,SKU-000195,330 ml,43565,61100,32
Prima Air Mineral 0098,ATK,SKU-000196,600 ml,140317,162500,100
Prima Air Mineral 0098,ATK,SKU-000197,1.5 L,148251,200000,21
Sejahtera Mie Instan 0099,Rumah Tangga,SKU-000198,Original,112658,134100,118
Maju Biskuit 0100,Kesehatan,SKU-000199,50 g,47939,55900,97
Maju Biskuit 0100,Kesehatan,SKU-000200,100 g,86113,104500,83
Jaya Keripik 0101,Makanan,SKU-000201,50 g,88773,122400,97
Jaya Keripik 0101,Makanan,SKU-000202,100 g,73243,100800,107
Jaya Keripik 0101,Makanan,SKU-000203,250 g,66431,93000,120
Sentosa Saus 0102,Minuman,SKU-000204,135 ml,5381,7400,13
Makmur Kecap 0103,Snack,SKU-000205,135 ml,92040,112000,17
Makmur Kecap 0103,Snack,SKU-000206,275 ml,10853,14900,63
Fresh Sabun Mandi 0104,Sembako,SKU-000207,70 g,52561,73700,159
Fresh Sabun Mandi 0104,Sembako,SKU-000208,100 g,40246,49200,121
Fresh Sabun Mandi 0104,Sembako,SKU-000209,250 g,30286,40000,55
Daily Shampoo 0105,Perawatan Diri,SKU-000210,170 ml,122205,166200,196
Choice Pasta Gigi 0106,Kebersihan,SKU-000211,75 g,97003,116400,155
Choice Pasta Gigi 0106,Kebersihan,SKU-000212,120 g,30324,41900,41
Max Detergen 0107,Elektronik,SKU-000213,500 g,81836,96800,6
Max Detergen 0107,Elektronik,SKU-000214,1 kg,82077,108600,96
Max Detergen 0107,Elektronik,SKU-000215,2.5 kg,104280,149400,50
Plus Tisu 0108,ATK,SKU-000216,10 sheets,20222,26800,160
Nusantara Pewangi 0109,Rumah Tangga,SKU-000217,250 ml,63961,75500,197
Nusantara Pewangi 0109,Rumah Tangga,SKU-000218,450 ml,79358,111500,153
Prima Pulpen 0110,Kesehatan,SKU-000219,0.5 mm,32033,44500,144
Prima Pulpen 0110,Kesehatan,SKU-000220,0.7 mm,11066,13900,109
Prima Pulpen 0110,Kesehatan,SKU-000221,1.0 mm,97442,114100,165
Sejahtera Buku Tulis 0111,Makanan,SKU-000222,38 sheets,89751,103600,107
Maju Lampu LED 0112,Minuman,SKU-000223,5 W,128803,152200,92
Maju Lampu LED 0112,Minuman,SKU-000224,9 W,120817,164600,111
Jaya Baterai 0113,Snack,SKU-000225,AA,46473,63700,166
Jaya Baterai 0113,Snack,SKU-000226,AAA,71100,94900,137
Jaya Baterai 0113,Snack,SKU-000227,9V,127045,163800,187
Sentosa Kabel USB 0114,Sembako,SKU-000228,1 m,70658,88100,62
Makmur Sapu 0115,Perawatan Diri,SKU-000229,Standard,23018,28400,115
Makmur Sapu 0115,Perawatan Diri,SKU-000230,Premium,64227,88300,145
Fresh Pel 0116,Kebersihan,SKU-000231,Standard,99649,124700,126
Fresh Pel 0116,Kebersihan,SKU-000232,Microfiber,85500,103000,54
Fresh Pel 0116,Kebersihan,SKU-000233,Spray,93315,129600,87
Daily Spons 0117,Elektronik,SKU-000234,Small,73610,104100,179
Choice Vitamin 0118,ATK,SKU-000235,30 tablets,72722,95800,132
Choice Vitamin 0118,ATK,SKU-000236,60 tablets,50384,59200,184
Max Masker 0119,Rumah Tangga,SKU-000237,10 pcs,106842,138500,194
Max Masker 0119,Rumah Tangga,SKU-000238,25 pcs,63299,85900,165
Max Masker 0119,Rumah Tangga,SKU-000239,50 pcs,128965,165600,4
Plus Hand Sanitizer 0120,Kesehatan,SKU-000240,60 ml,24693,30600,103
Nusantara Beras 0121,Makanan,SKU-000241,5 kg,64080,79600,148
Nusantara Beras 0121,Makanan,SKU-000242,10 kg,97036,125400,135
Prima Minyak Goreng 0122,Minuman,SKU-000243,1 L,90413,115500,190
Prima Minyak Goreng 0122,Minuman,SKU-000244,2 L,144581,180600,179
Prima Minyak Goreng 0122,Minuman,SKU-000245,5 L,119246,146800,64
Sejahtera Gula 0123,Snack,SKU-000246,500 g,60734,72000,49
Maju Tepung 0124,Sembako,SKU-000247,500 g,83019,98400,137
Maju Tepung 0124,Sembako,SKU-000248,1 kg,48835,59000,189
Jaya Kopi 0125,Perawatan Diri,SKU-000249,100 g,127229,156900,150
Jaya Kopi 0125,Perawatan Diri,SKU-000250,200 g,137830,183200,25
Jaya Kopi 0125,Perawatan Diri,SKU-000251,500 g,51186,63400,92
Sentosa Teh 0126,Kebersihan,SKU-000252,25 sachet,47339,58700,181
Makmur Susu 0127,Elektronik,SKU-000253,200 ml,140320,166700,11
Makmur Susu 0127,Elektronik,SKU-000254,1 L,14593,19200,178
Fresh Air Mineral 0128,ATK,SKU-000255,330 ml,33403,44800,192
Fresh Air Mineral 0128,ATK,SKU-000256,600 ml,128980,152300,3
Fresh Air Mineral 0128,ATK,SKU-000257,1.5 L,74837,96600,112
Daily Mie Instan 0129,Rumah Tangga,SKU-000258,Original,89614,108000,13
Choice Biskuit 0130,Kesehatan,SKU-000259,50 g,66485,95200,122
Choice Biskuit 0130,Kesehatan,SKU-000260,100 g,30207,42200,102
Max Keripik 0131,Makanan,SKU-000261,50 g,129208,151500,161
Max Keripik 0131,Makanan,SKU-000262,100 g,14353,17200,144
Max Keripik 0131,Makanan,SKU-000263,250 g,79948,94000,63
Plus Saus 0132,Minuman,SKU-000264,135 ml,31351,41300,106
Nusantara Kecap 0133,Snack,SKU-000265,135 ml,59462,82200,97
Nusantara Kecap 0133,Snack,SKU-000266,275 ml,118399,168400,76
Prima Sabun Mandi 0134,Sembako,SKU-000267,70 g,112715,139900,158
Prima Sabun Mandi 0134,Sembako,SKU-000268,100 g,16089,21400,189
Prima Sabun Mandi 0134,Sembako,SKU-000269,250 g,26313,37700,53
Sejahtera Shampoo 0135,Perawatan Diri,SKU-000270,170 ml,55618,68400,20
Maju Pasta Gigi 0136,Kebersihan,SKU-000271,75 g,41471,50700,141
Maju Pasta Gigi 0136,Kebersihan,SKU-000272,120 g,19977,23900,104
Jaya Detergen 0137,Elektronik,SKU-000273,500 g,118396,160600,120
Jaya Detergen 0137,Elektronik,SKU-000274,1 kg,76651,88900,73
Jaya Detergen 0137,Elektronik,SKU-000275,2.5 kg,74412,101300,116
Sentosa Tisu 0138,ATK,SKU-000276,10 sheets,18959,25700,67
Makmur Pewangi 0139,Rumah Tangga,SKU-000277,250 ml,52157,66600,139
Makmur Pewangi 0139,Rumah Tangga,SKU-000278,450 ml,59232,79600,68
Fresh Pulpen 0140,Kesehatan,SKU-000279,0.5 mm,37586,44000,42
Fresh Pulpen 0140,Kesehatan,SKU-000280,0.7 mm,80938,107500,145
Fresh Pulpen 0140,Kesehatan,SKU-000281,1.0 mm,75957,97400,119
Daily Buku Tulis 0141,Makanan,SKU-000282,38 sheets,80015,108800,69
Choice Lampu LED 0142,Minuman,SKU-000283,5 W,131495,172500,112
Choice Lampu LED 0142,Minuman,SKU-000284,9 W,21387,28400,110
Max Baterai 0143,Snack,SKU-000285,AA,84794,112900,6
Max Baterai 0143,Snack,SKU-000286,AAA,24240,29500,172
Max Baterai 0143,Snack,SKU-000287,9V,5738,8300,172
Plus Kabel USB 0144,Sembako,SKU-000288,1 m,70950,93900,195
Nusantara Sapu 0145,Perawatan Diri,SKU-000289,Standard,46225,59700,166
Nusantara Sapu 0145,Perawatan Diri,SKU-000290,Premium,116227,165600,46
Prima Pel 0146,Kebersihan,SKU-000291,Standard,114564,153600,125
Prima Pel 0146,Kebersihan,SKU-000292,Microfiber,24218,31300,104
Prima Pel 0146,Kebersihan,SKU-000293,Spray,87674,109300,26
Sejahtera Spons 0147,Elektronik,SKU-000294,Small,42459,53000,177
Maju Vitamin 0148,ATK,SKU-000295,30 tablets,130184,161000,102
Maju Vitamin 0148,ATK,SKU-000296,60 tablets,144504,167800,22
Jaya Masker 0149,Rumah Tangga,SKU-000297,10 pcs,82748,101400,29
Jaya Masker 0149,Rumah Tangga,SKU-000298,25 pcs,106252,149800,0
Jaya Masker 0149,Rumah Tangga,SKU-000299,50 pcs,142537,183700,13
Sentosa Hand Sanitizer 0150,Kesehatan,SKU-000300,60 ml,49473,64600,159
Makmur Beras 0151,Makanan,SKU-000301,5 kg,130976,175200,194
Makmur Beras 0151,Makanan,SKU-000302,10 kg,13829,16700,140
Fresh Minyak Goreng 0152,Minuman,SKU-000303,1 L,34644,49500,112
Fresh Minyak Goreng 0152,Minuman,SKU-000304,2 L,127364,151100,161
Fresh Minyak Goreng 0152,Minuman,SKU-000305,5 L,63030,85900,79
Daily Gula 0153,Snack,SKU-000306,500 g,144699,167000,104
Choice Tepung 0154,Sembako,SKU-000307,500 g,24734,30100,29
Choice Tepung 0154,Sembako,SKU-000308,1 kg,121265,173900,165
Max Kopi 0155,Perawatan Diri,SKU-000309,100 g,40662,52800,183
Max Kopi 0155,Perawatan Diri,SKU-000310,200 g,76809,100100,69
Max Kopi 0155,Perawatan Diri,SKU-000311,500 g,109218,153000,120
Plus Teh 0156,Kebersihan,SKU-000312,25 sachet,64192,82600,37
Nusantara Susu 0157,Elektronik,SKU-000313,200 ml,100854,121700,153
Nusantara Susu 0157,Elektronik,SKU-000314,1 L,133532,183500,34
Prima Air Mineral 0158,ATK,SKU-000315,330 ml,18600,22900,106
Prima Air Mineral 0158,ATK,SKU-000316,600 ml,89396,127900,129
Prima Air Mineral 0158,ATK,SKU-000317,1.5 L,70337,98200,72
Sejahtera Mie Instan 0159,Rumah Tangga,SKU-000318,Original,78564,110100,148
Maju Biskuit 0160,Kesehatan,SKU-000319,50 g,128656,181400,114
Maju Biskuit 0160,Kesehatan,SKU-000320,100 g,141485,183300,85
Jaya Keripik 0161,Makanan,SKU-000321,50 g,144981,199900,96
Jaya Keripik 0161,Makanan,SKU-000322,100 g,119665,171100,48
Jaya Keripik 0161,Makanan,SKU-000323,250 g,62901,83100,59
Sentosa Saus 0162,Minuman,SKU-000324,135 ml,107982,125600,190
Makmur Kecap 0163,Snack,SKU-000325,135 ml,124287,169200,97
Makmur Kecap 0163,Snack,SKU-000326,275 ml,101508,146800,166
Fresh Sabun Mandi 0164,Sembako,SKU-000327,70 g,40173,52200,9
Fresh Sabun Mandi 0164,Sembako,SKU-000328,100 g,33394,43400,151
Fresh Sabun Mandi 0164,Sembako,SKU-000329,250 g,87330,123200,112
Daily Shampoo 0165,Perawatan Diri,SKU-000330,170 ml,26438,34600,116
Choice Pasta Gigi 0166,Kebersihan,SKU-000331,75 g,4323,5900,104
Choice Pasta Gigi 0166,Kebersihan,SKU-000332,120 g,40764,47800,200
Max Detergen 0167,Elektronik,SKU-000333,500 g,69774,87300,177
Max Detergen 0167,Elektronik,SKU-000334,1 kg,104497,140500,84
Max Detergen 0167,Elektronik,SKU-000335,2.5 kg,140185,177200,81
Plus Tisu 0168,ATK,SKU-000336,10 sheets,128212,181000,9
Nusantara Pewangi 0169,Rumah Tangga,SKU-000337,250 ml,18236,22300,175
Nusantara Pewangi 0169,Rumah Tangga,SKU-000338,450 ml,75634,109600,191
Prima Pulpen 0170,Kesehatan,SKU-000339,0.5 mm,23992,30700,25
Prima Pulpen 0170,Kesehatan,SKU-000340,0.7 mm,26647,34200,177
Prima Pulpen 0170,Kesehatan,SKU-000341,1.0 mm,78803,112000,11
Sejahtera Buku Tulis 0171,Makanan,SKU-000342,38 sheets,85332,118500,75
Maju Lampu LED 0172,Minuman,SKU-000343,5 W,94269,119000,37
Maju Lampu LED 0172,Minuman,SKU-000344,9 W,64314,84200,144
Jaya Baterai 0173,Snack,SKU-000345,AA,47500,57000,20
Jaya Baterai 0173,Snack,SKU-000346,AAA,100581,134400,61
Jaya Baterai 0173,Snack,SKU-000347,9V,130760,186200,36
Sentosa Kabel USB 0174,Sembako,SKU-000348,1 m,61166,78800,65
Makmur Sapu 0175,Perawatan Diri,SKU-000349,Standard,120773,148100,2
Makmur Sapu 0175,Perawatan Diri,SKU-000350,Premium,122263,173700,173
Fresh Pel 0176,Kebersihan,SKU-000351,Standard,143587,171900,113
Fresh Pel 0176,Kebersihan,SKU-000352,Microfiber,90887,131400,76
Fresh Pel 0176,Kebersihan,SKU-000353,Spray,111530,151400,116
Daily Spons 0177,Elektronik,SKU-000354,Small,79499,96200,98
Choice Vitamin 0178,ATK,SKU-000355,30 tablets,126970,150100,97
Choice Vitamin 0178,ATK,SKU-000356,60 tablets,94398,124800,179
Max Masker 0179,Rumah Tangga,SKU-000357,10 pcs,77692,89900,168
Max Masker 0179,Rumah Tangga,SKU-000358,25 pcs,104058,128200,144
Max Masker 0179,Rumah Tangga,SKU-000359,50 pcs,13156,18700,190
Plus Hand Sanitizer 0180,Kesehatan,SKU-000360,60 ml,130514,182700,73
Nusantara Beras 0181,Makanan,SKU-000361,5 kg,60624,80800,90
Nusantara Beras 0181,Makanan,SKU-000362,10 kg,57710,77400,158
Prima Minyak Goreng 0182,Minuman,SKU-000363,1 L,66000,89300,184
Prima Minyak Goreng 0182,Minuman,SKU-000364,2 L,36155,48400,160
